iso3,annee,z_conflits,lag_z,cluster
BFA,2005,-0.4071203932876399,0.41117959272538496,NS
BWA,2005,-0.4071203932876399,-0.4071203932876399,NS
CAF,2005,0.19994812928702066,-0.016077708549971325,NS
CIV,2005,0.05428428441301192,-0.3903216749833569,NS
CMR,2005,-0.3263690240543435,-0.13862806541840622,NS
COD,2005,-0.21399826144196799,0.5478557645392916,NS
COG,2005,0.18107049859907043,-0.17046150440344876,NS
DJI,2005,-0.4071203932876399,-0.1551076338583117,NS
ERI,2005,-0.4071203932876399,0.14032267678023586,NS
ETH,2005,0.09690512557101649,0.01166086350189402,NS
GAB,2005,-0.4071203932876399,-0.18413963958097096,NS
GHA,2005,-0.4071203932876399,1.2181066807492014,LH
GIN,2005,-0.3572454957338497,-0.3108993602825838,NS
GMB,2005,0.11818914024118402,-0.3253175669255804,NS
GNB,2005,-0.4071203932876399,-0.34128153132971506,NS
GNQ,2005,-0.4071203932876399,-0.3667447086709917,NS
KEN,2005,-0.0459610032245466,0.43635553861298937,NS
LBR,2005,-0.4071203932876399,-0.2366938682028259,NS
LSO,2005,-0.4071203932876399,-0.4071203932876399,NS
MDG,2005,-0.4071203932876399,0,NS
MLI,2005,-0.3730016993200148,-0.3082733263515563,NS
MOZ,2005,-0.361676796025551,-0.4071203932876398,NS
MRT,2005,-0.4071203932876399,-0.34915963312279763,NS
MWI,2005,-0.4071203932876399,-0.3919725275336102,NS
NAM,2005,-0.4071203932876399,-0.3466499091341746,NS
NER,2005,-0.4071203932876399,-0.3171577439433086,NS
NGA,2005,-0.3373138646489704,-0.3004605449504753,NS
RWA,2005,-0.4071203932876399,1.4154535359771998,LH
SDN,2005,0.7311832980573311,-0.11572398017790417,NS
SEN,2005,-0.3253175669255804,-0.2852597682775921,NS
SLE,2005,-0.4071203932876399,-0.3821829445107448,NS
SOM,2005,0.6061040660414994,0.025472061173234948,NS
SSD,2005,-0.4071203932876399,0.510181096046094,NS
SWZ,2005,-0.4071203932876399,-0.3843985946565954,NS
TCD,2005,-0.06123236917227809,-0.027934370929320412,NS
TGO,2005,4.007156151122232,-0.4071203932876399,NS
TZA,2005,-0.4071203932876399,0.5549919447604278,NS
UGA,2005,2.2930092880277106,-0.29626408890588685,NS
ZAF,2005,-0.4071203932876399,-0.399546460410625,NS
ZMB,2005,-0.4071203932876399,-0.3395056245532539,NS
ZWE,2005,-0.4071203932876399,-0.39803167383522214,NS
AGO,2006,-0.09911005875718658,-0.2618394508425659,NS
BDI,2006,2.720980373138907,-0.20011169086115507,NS
BEN,2006,-0.44702273078679816,-0.42415184875839285,NS
BFA,2006,-0.44702273078679816,-0.4136598822994503,NS
BWA,2006,-0.44702273078679816,-0.44702273078679816,NS
CAF,2006,3.572259330833902,0.4233836650465057,NS
CIV,2006,-0.24684563986271088,-0.37339134315812667,NS
CMR,2006,-0.44702273078679816,0.6930695349876274,NS
COD,2006,0.2937103889901311,0.5847021873167983,NS
COG,2006,-0.44702273078679816,0.5745628398986502,NS
DJI,2006,-0.44702273078679816,-0.09144627869734218,NS
ERI,2006,-0.44702273078679816,0.37400065404305977,NS
ETH,2006,0.2641301733921138,0.4425913103326956,NS
GAB,2006,-0.44702273078679816,-0.4470227307867981,NS
GHA,2006,-0.44702273078679816,-0.38029703381210234,NS
GIN,2006,-0.07886579264344051,-0.3796098724793425,NS
GMB,2006,-0.44702273078679816,-0.24272267186615157,NS
GNB,2006,-0.44702273078679816,-0.16079423225479605,NS
GNQ,2006,-0.44702273078679816,-0.44702273078679816,NS
KEN,2006,-0.10102747020200734,0.6932274822845571,NS
LBR,2006,-0.44702273078679816,-0.25757805443098314,NS
LSO,2006,-0.44702273078679816,-0.44702273078679816,NS
MDG,2006,-0.44702273078679816,0,NS
MLI,2006,-0.44702273078679816,-0.3182503827887829,NS
MOZ,2006,-0.44702273078679816,-0.44702273078679816,NS
MRT,2006,-0.44702273078679816,-0.34487270132647485,NS
MWI,2006,-0.44702273078679816,-0.4470227307867981,NS
NAM,2006,-0.44702273078679816,-0.3774401963808759,NS
NER,2006,-0.44702273078679816,0.11723157581837262,NS
NGA,2006,-0.3555392026731769,0.23542427044125996,NS
RWA,2006,-0.44702273078679816,0.967742931477949,NS
SDN,2006,1.3048945195238637,1.0450218633555708,HH
SEN,2006,-0.24272267186615157,-0.37339134315812667,NS
SLE,2006,-0.44702273078679816,-0.2629442617151193,NS
SOM,2006,2.792749005034712,0.08155135159505324,NS
SSD,2006,-0.44702273078679816,1.10621177285126,LH
SWZ,2006,-0.44702273078679816,-0.44702273078679816,NS
TCD,2006,2.2827652741254343,0.7255138372221986,HH
TGO,2006,-0.44702273078679816,-0.4470227307867981,NS
TZA,2006,-0.44702273078679816,0.30360950791867425,NS
UGA,2006,1.3033036945695562,-0.22967705471445415,NS
ZAF,2006,-0.44702273078679816,-0.44702273078679816,NS
ZMB,2006,-0.44702273078679816,-0.31094200681098055,NS
